Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 26_level_0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
276,Maximilian Beier,de GER,"FW,MF",Dortmund,de Bundesliga,21,2002,17.7,8,42,13,31.0,2.38,0.74,0.19,0.62,12.6,0,0,0,7.7,7.7,0.18,+0.3,+0.3,Matches
277,Luken Beitia,es ESP,DF,Real Sociedad,es La Liga,20,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
278,Ismael Bekhoucha,ma MAR,"MF,DF",Getafe,es La Liga,19,2004,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
279,Reda Belahyane,ma MAR,MF,Hellas Verona,it Serie A,20,2004,18.4,0,6,2,33.3,0.33,0.11,0.00,0.00,23.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
280,Reda Belahyane,ma MAR,MF,Lazio,it Serie A,20,2004,2.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
281,Haris Belkebla,dz ALG,MF,Angers,fr Ligue 1,30,1994,19.9,0,3,0,0.0,0.15,0.00,0.00,,23.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
282,Yassin Belkhdim,fr FRA,MF,Angers,fr Ligue 1,22,2002,16.9,1,9,5,55.6,0.53,0.30,0.11,0.20,17.3,0,0,0,0.8,0.8,0.09,+0.2,+0.2,Matches
283,Stefan Bell,de GER,DF,Mainz 05,de Bundesliga,32,1991,16.0,0,12,3,25.0,0.75,0.19,0.00,0.00,11.3,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
284,Armel Bella Kotchap,de GER,DF,Southampton,eng Premier League,22,2001,3.7,0,1,0,0.0,0.27,0.00,0.00,,9.1,0,0,0,0.3,0.3,0.32,-0.3,-0.3,Matches
285,Raoul Bellanova,it ITA,DF,Torino,it Serie A,24,2000,1.0,0,1,0,0.0,1.03,0.00,0.00,,8.4,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
286,Raoul Bellanova,it ITA,DF,Atalanta,it Serie A,24,2000,26.7,0,18,5,27.8,0.67,0.19,0.00,0.00,15.2,0,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches
287,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,eng Premier League,26,1998,18.6,2,22,5,22.7,1.18,0.27,0.09,0.40,21.2,2,0,0,1.5,1.5,0.07,+0.5,+0.5,Matches
288,Héctor Bellerín,es ESP,DF,Betis,es La Liga,29,1995,6.4,0,1,1,100.0,0.16,0.16,0.00,0.00,14.6,0,0,0,0.2,0.2,0.20,-0.2,-0.2,Matches
289,Jude Bellingham,eng ENG,MF,Real Madrid,es La Liga,21,2003,27.6,9,60,22,36.7,2.17,0.80,0.13,0.36,15.6,0,1,2,11.4,9.9,0.17,-2.4,-1.9,Matches
290,Jeanuël Belocian,fr FRA,"DF,MF",Leverkusen,de Bundesliga,19,2005,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
291,Andrea Belotti,it ITA,FW,Como,it Serie A,30,1993,6.6,2,19,3,15.8,2.88,0.46,0.11,0.67,12.7,0,0,0,2.5,2.5,0.13,-0.5,-0.5,Matches
292,Fran Beltrán,es ESP,MF,Celta Vigo,es La Liga,25,1999,26.9,2,23,4,17.4,0.86,0.15,0.09,0.50,23.1,0,0,0,1.0,1.0,0.04,+1.0,+1.0,Matches
293,Lucas Beltrán,ar ARG,"FW,MF",Fiorentina,it Serie A,23,2001,21.7,5,26,6,23.1,1.20,0.28,0.12,0.50,15.9,0,2,3,5.4,3.1,0.12,-0.4,-0.1,Matches
294,Eliesse Ben Seghir,ma MAR,"MF,FW",Monaco,fr Ligue 1,19,2005,19.4,6,58,19,32.8,2.98,0.98,0.07,0.21,20.9,3,2,2,5.5,4.1,0.07,+0.5,-0.1,Matches
295,Carlos Benavídez,uy URU,MF,Alavés,es La Liga,26,1998,5.4,1,5,2,40.0,0.92,0.37,0.20,0.50,21.4,0,0,0,0.3,0.3,0.05,+0.7,+0.7,Matches
296,Adrian Benedyczak,pl POL,"FW,MF",Parma,it Serie A,23,2000,2.4,0,3,0,0.0,1.26,0.00,0.00,,18.4,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
297,László Bénes,sk SVK,"MF,FW",Union Berlin,de Bundesliga,26,1997,6.5,2,19,7,36.8,2.90,1.07,0.11,0.29,22.1,2,0,0,0.9,0.9,0.05,+1.1,+1.1,Matches
298,Iker Benito,es ESP,"FW,MF",Osasuna,es La Liga,21,2002,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
299,Ismaël Bennacer,dz ALG,MF,Milan,it Serie A,26,1997,3.3,0,3,2,66.7,0.90,0.60,0.00,0.00,31.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
300,Ismaël Bennacer,dz ALG,MF,Marseille,fr Ligue 1,26,1997,7.2,0,3,0,0.0,0.42,0.00,0.00,,24.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
