Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 26_level_0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
506,Cristian Cásseres Jr.,ve VEN,MF,Toulouse,fr Ligue 1,24,2000,30.0,1,17,5,29.4,0.57,0.17,0.06,0.20,21.3,2,0,0,1.0,1.0,0.06,0.0,0.0,Matches
507,Timothy Castagne,be BEL,DF,Fulham,eng Premier League,28,1995,18.3,0,8,3,37.5,0.44,0.16,0.00,0.00,14.0,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
508,Valentín Castellanos,ar ARG,FW,Lazio,it Serie A,25,1998,26.5,10,105,36,34.3,3.96,1.36,0.08,0.22,16.8,3,2,3,13.4,11.3,0.11,-3.4,-3.3,Matches
509,Jean-Charles Castelletto,cm CMR,"DF,MF",Nantes,fr Ligue 1,29,1995,29.1,0,17,5,29.4,0.58,0.17,0.00,0.00,13.3,0,0,0,1.8,1.8,0.13,-1.8,-1.8,Matches
510,Santiago Castro,ar ARG,FW,Bologna,it Serie A,19,2004,25.5,8,62,20,32.3,2.43,0.78,0.13,0.40,15.8,0,0,1,7.7,6.9,0.11,+0.3,+1.1,Matches
511,Gaetano Castrovilli,it ITA,MF,Monza,it Serie A,27,1997,6.6,0,6,0,0.0,0.91,0.00,0.00,,17.7,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
512,Gaetano Castrovilli,it ITA,"MF,FW",Lazio,it Serie A,27,1997,1.6,0,2,0,0.0,1.22,0.00,0.00,,19.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
513,Danilo Cataldi,it ITA,MF,Fiorentina,it Serie A,29,1994,19.2,3,13,5,38.5,0.68,0.26,0.23,0.60,22.8,2,0,0,1.1,1.1,0.09,+1.9,+1.9,Matches
514,Catena,es ESP,DF,Osasuna,es La Liga,29,1994,34.2,1,20,5,25.0,0.59,0.15,0.05,0.20,10.9,0,0,0,2.2,2.2,0.11,-1.2,-1.2,Matches
515,Maximiliano Caufriez,be BEL,DF,Valencia,es La Liga,27,1997,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
516,Enzo Caumont,fr FRA,MF,Angers,fr Ligue 1,20,2004,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
517,Dani Ceballos,es ESP,MF,Real Madrid,es La Liga,27,1996,13.5,0,7,2,28.6,0.52,0.15,0.00,0.00,22.5,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
518,Abdoulie Ceesay,gm GAM,FW,St. Pauli,de Bundesliga,20,2004,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
519,Zeki Çelik,tr TUR,DF,Roma,it Serie A,27,1997,25.1,0,13,4,30.8,0.52,0.16,0.00,0.00,15.7,0,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
520,Fabien Centonze,fr FRA,DF,Nantes,fr Ligue 1,28,1996,2.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
521,Alberto Cerri,it ITA,FW,Como,it Serie A,28,1996,1.0,0,4,1,25.0,4.14,1.03,0.00,0.00,11.2,0,0,0,1.0,1.0,0.25,-1.0,-1.0,Matches
522,Franco Cervi,ar ARG,"FW,MF",Celta Vigo,es La Liga,30,1994,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
523,Julian Chabot,de GER,DF,Stuttgart,de Bundesliga,26,1998,25.2,3,19,3,15.8,0.75,0.12,0.16,1.00,12.0,0,0,0,2.0,1.8,0.10,+1.0,+1.2,Matches
524,El Chadaille Bitshiabu,fr FRA,DF,RB Leipzig,de Bundesliga,19,2005,12.6,0,5,3,60.0,0.40,0.24,0.00,0.00,10.9,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
525,Fares Chaïbi,dz ALG,"MF,FW",Eint Frankfurt,de Bundesliga,21,2002,11.3,1,25,6,24.0,2.22,0.53,0.04,0.17,18.4,2,0,0,2.6,2.6,0.10,-1.6,-1.6,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
526,Trevoh Chalobah,eng ENG,DF,Crystal Palace,eng Premier League,25,1999,11.8,3,11,4,36.4,0.93,0.34,0.27,0.75,15.1,0,0,0,1.2,1.2,0.11,+1.8,+1.8,Matches
527,Trevoh Chalobah,eng ENG,DF,Chelsea,eng Premier League,25,1999,10.1,0,7,2,28.6,0.69,0.20,0.00,0.00,11.1,0,0,0,0.8,0.8,0.11,-0.8,-0.8,Matches
528,Timothy Chandler,us USA,DF,Eint Frankfurt,de Bundesliga,34,1990,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
529,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,eng Premier League,27,1997,9.5,1,16,3,18.8,1.68,0.32,0.06,0.33,17.7,0,0,0,1.5,1.5,0.09,-0.5,-0.5,Matches
530,Brendan Chardonnet,fr FRA,DF,Brest,fr Ligue 1,29,1994,26.8,1,14,1,7.1,0.52,0.04,0.07,1.00,13.1,0,0,0,0.8,0.8,0.06,+0.2,+0.2,Matches
531,Gabriel Charpentier,cg CGO,FW,Parma,it Serie A,25,1999,3.0,1,9,4,44.4,2.99,1.33,0.11,0.25,17.6,0,0,0,1.3,1.3,0.15,-0.3,-0.3,Matches
532,Raúl Chasco,es ESP,DF,Valladolid,es La Liga,20,2003,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
533,Anrie Chase,jp JPN,DF,Stuttgart,de Bundesliga,20,2004,8.2,0,5,0,0.0,0.61,0.00,0.00,,17.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
534,Pep Chavarría,es ESP,"DF,FW",Rayo Vallecano,es La Liga,26,1998,28.7,0,11,3,27.3,0.38,0.10,0.00,0.00,20.1,0,0,0,1.2,1.2,0.11,-1.2,-1.2,Matches
535,Arthur Chaves,br BRA,DF,Hoffenheim,de Bundesliga,23,2001,24.3,1,10,2,20.0,0.41,0.08,0.10,0.50,12.6,0,0,0,0.8,0.8,0.08,+0.2,+0.2,Matches
536,Jhoanner Chávez,ec ECU,"DF,MF",Lens,fr Ligue 1,22,2002,6.6,1,5,3,60.0,0.76,0.45,0.20,0.33,16.4,0,0,0,0.3,0.3,0.06,+0.7,+0.7,Matches
537,Walid Cheddira,ma MAR,FW,Napoli,it Serie A,26,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
538,Walid Cheddira,ma MAR,FW,Espanyol,es La Liga,26,1998,7.1,1,13,4,30.8,1.83,0.56,0.08,0.25,12.7,0,0,0,1.0,1.0,0.08,0.0,0.0,Matches
539,Chema,es ESP,MF,Real Madrid,es La Liga,19,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
540,Théo Chennahi,fr FRA,DF,Montpellier,fr Ligue 1,19,2005,2.0,0,2,0,0.0,0.99,0.00,0.00,,23.8,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
541,Sidiki Cherif,fr FRA,FW,Angers,fr Ligue 1,17,2006,3.6,0,5,2,40.0,1.39,0.56,0.00,0.00,23.4,0,0,0,0.7,0.7,0.15,-0.7,-0.7,Matches
542,Rayan Cherki,fr FRA,"FW,MF",Lyon,fr Ligue 1,20,2003,22.7,8,45,19,42.2,1.98,0.84,0.18,0.42,16.8,3,0,0,5.0,5.0,0.11,+3.0,+3.0,Matches
543,Youssef Chermiti,pt POR,"FW,MF",Everton,eng Premier League,20,2004,0.5,0,3,1,33.3,6.00,2.00,0.00,0.00,13.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
544,Lucas Chevalier,fr FRA,GK,Lille,fr Ligue 1,22,2001,34.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
545,Fabio Chiarodia,it ITA,DF,Gladbach,de Bundesliga,19,2005,4.2,1,4,1,25.0,0.95,0.24,0.25,1.00,8.6,0,0,0,0.3,0.3,0.07,+0.7,+0.7,Matches
546,Julián Chicco,ar ARG,"MF,DF",Leganés,es La Liga,26,1998,3.4,0,3,1,33.3,0.89,0.30,0.00,0.00,19.7,0,0,0,0.5,0.5,0.16,-0.5,-0.5,Matches
547,Leandro Chichizola,ar ARG,GK,Parma,it Serie A,34,1990,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
548,Federico Chiesa,it ITA,FW,Liverpool,eng Premier League,26,1997,1.2,0,5,2,40.0,4.17,1.67,0.00,0.00,20.4,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
549,Ben Chilwell,eng ENG,DF,Crystal Palace,eng Premier League,27,1996,2.9,1,5,3,60.0,1.74,1.04,0.20,0.33,25.4,2,0,0,0.2,0.2,0.05,+0.8,+0.8,Matches
550,Chiquinho,pt POR,MF,Wolves,eng Premier League,24,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
551,Chiquinho,pt POR,"MF,FW",Mallorca,es La Liga,24,2000,1.6,0,4,2,50.0,2.47,1.23,0.00,0.00,15.4,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
552,Pedro Chirivella,es ESP,MF,Nantes,fr Ligue 1,27,1997,26.1,0,8,2,25.0,0.31,0.08,0.00,0.00,21.0,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
553,Joris Chotard,fr FRA,MF,Montpellier,fr Ligue 1,22,2001,21.0,1,19,3,15.8,0.90,0.14,0.05,0.33,21.4,2,0,0,1.3,1.3,0.07,-0.3,-0.3,Matches
554,Hamza Choudhury,bd BAN,"MF,DF",Leicester City,eng Premier League,26,1997,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
555,Andreas Christensen,dk DEN,DF,Barcelona,es La Liga,28,1996,2.8,0,1,0,0.0,0.35,0.00,0.00,,12.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
556,Ryan Christie,sct SCO,MF,Bournemouth,eng Premier League,29,1995,23.5,2,33,12,36.4,1.40,0.51,0.06,0.17,19.6,0,0,0,1.8,1.8,0.06,+0.2,+0.2,Matches
557,Carney Chukwuemeka,eng ENG,MF,Dortmund,de Bundesliga,20,2003,2.8,1,8,2,25.0,2.85,0.71,0.13,0.50,17.2,0,0,0,0.6,0.6,0.08,+0.4,+0.4,Matches
558,Samuel Chukwueze,ng NGA,"FW,MF",Milan,it Serie A,25,1999,10.3,3,32,8,25.0,3.11,0.78,0.09,0.38,19.5,0,0,0,2.7,2.7,0.08,+0.3,+0.3,Matches
559,Aaron Ciammaglichella,it ITA,MF,Torino,it Serie A,19,2005,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
560,Jasper Cillessen,nl NED,GK,Las Palmas,es La Liga,35,1989,25.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
561,Giuseppe Ciocci,it ITA,GK,Cagliari,it Serie A,22,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
562,Alessandro Circati,au AUS,DF,Parma,it Serie A,20,2003,6.0,0,2,0,0.0,0.33,0.00,0.00,,7.5,0,0,0,0.3,0.3,0.16,-0.3,-0.3,Matches
563,Pathé Ciss,sn SEN,"MF,DF",Rayo Vallecano,es La Liga,30,1994,23.8,4,21,6,28.6,0.88,0.25,0.19,0.67,15.2,0,0,0,1.8,1.7,0.09,+2.2,+2.3,Matches
564,Alphadjo Cissè,it ITA,"FW,MF",Hellas Verona,it Serie A,17,2006,0.1,0,2,2,100.0,20.00,20.00,0.00,0.00,26.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
565,Djaoui Cissé,fr FRA,MF,Rennes,fr Ligue 1,20,2004,12.5,1,15,7,46.7,1.20,0.56,0.07,0.14,28.3,0,0,0,0.4,0.4,0.03,+0.6,+0.6,Matches
566,Seydouba Cissé,gn GUI,MF,Leganés,es La Liga,23,2001,27.1,3,24,5,20.8,0.89,0.18,0.13,0.60,20.0,0,0,0,3.0,3.0,0.13,0.0,0.0,Matches
567,Yoann Cissé,fr FRA,MF,Auxerre,fr Ligue 1,19,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
568,Patrick Ciurria,it ITA,"MF,DF",Monza,it Serie A,29,1995,12.3,1,11,2,18.2,0.89,0.16,0.09,0.50,21.0,0,0,0,0.8,0.8,0.08,+0.2,+0.2,Matches
569,Harry Clarke,eng ENG,DF,Ipswich Town,eng Premier League,23,2001,4.2,0,1,1,100.0,0.24,0.24,0.00,0.00,4.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
570,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,eng Premier League,23,2000,13.1,0,17,2,11.8,1.30,0.15,0.00,0.00,18.9,0,0,0,1.2,1.2,0.07,-1.2,-1.2,Matches
571,Alexis Claude-Maurice,fr FRA,"MF,FW",Augsburg,de Bundesliga,26,1998,23.4,9,59,22,37.3,2.52,0.94,0.15,0.41,20.5,1,0,0,4.7,4.7,0.08,+4.3,+4.3,Matches
572,Jonathan Clauss,fr FRA,"DF,MF",Nice,fr Ligue 1,31,1992,25.6,3,26,8,30.8,1.02,0.31,0.12,0.38,17.2,5,0,0,2.2,2.2,0.09,+0.8,+0.8,Matches
573,Silvi Clúa,es ESP,MF,Girona,es La Liga,19,2005,1.8,0,2,1,50.0,1.10,0.55,0.00,0.00,33.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
574,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,eng Premier League,33,1991,5.4,0,2,0,0.0,0.37,0.00,0.00,,31.4,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
575,Conor Coady,eng ENG,DF,Leicester City,eng Premier League,31,1993,19.0,1,2,2,100.0,0.11,0.11,0.50,0.50,6.9,0,0,0,0.4,0.4,0.21,+0.6,+0.6,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
576,Marcus Coco,fr FRA,DF,Nantes,fr Ligue 1,28,1996,10.6,0,2,0,0.0,0.19,0.00,0.00,,22.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
577,Saúl Coco,gq EQG,DF,Torino,it Serie A,25,1999,31.6,2,20,5,25.0,0.63,0.16,0.10,0.40,18.7,3,0,0,1.2,1.2,0.06,+0.8,+0.8,Matches
578,Séamus Coleman,ie IRL,DF,Everton,eng Premier League,35,1988,2.4,0,1,1,100.0,0.42,0.42,0.00,0.00,10.5,0,0,0,0.6,0.6,0.57,-0.6,-0.6,Matches
579,Nathan Collins,ie IRL,DF,Brentford,eng Premier League,23,2001,38.0,2,17,6,35.3,0.45,0.16,0.12,0.33,10.7,0,0,0,2.5,2.5,0.15,-0.5,-0.5,Matches
580,Nnamdi Collins,de GER,DF,Eint Frankfurt,de Bundesliga,20,2004,16.5,1,5,2,40.0,0.30,0.12,0.20,0.50,15.1,0,0,0,0.8,0.8,0.16,+0.2,+0.2,Matches
581,Toby Collyer,eng ENG,MF,Manchester Utd,eng Premier League,20,2004,2.0,0,1,0,0.0,0.50,0.00,0.00,,6.2,0,0,0,0.2,0.2,0.17,-0.2,-0.2,Matches
582,Lorenzo Colombo,it ITA,"FW,MF",Empoli,it Serie A,22,2002,24.8,6,55,18,32.7,2.22,0.73,0.09,0.28,18.1,0,1,1,5.9,5.1,0.09,+0.1,-0.1,Matches
583,Andrea Colpani,it ITA,"FW,MF",Fiorentina,it Serie A,25,1999,16.1,2,36,12,33.3,2.23,0.74,0.06,0.17,18.5,2,0,0,2.7,2.7,0.07,-0.7,-0.7,Matches
584,Levi Colwill,eng ENG,DF,Chelsea,eng Premier League,21,2003,35.0,2,17,4,23.5,0.49,0.11,0.12,0.50,9.5,0,0,0,1.9,1.9,0.11,+0.1,+0.1,Matches
585,Florinel Coman,ro ROU,"FW,MF",Cagliari,it Serie A,26,1998,2.9,1,4,1,25.0,1.37,0.34,0.25,1.00,19.9,1,0,0,0.2,0.2,0.06,+0.8,+0.8,Matches
586,Kingsley Coman,fr FRA,FW,Bayern Munich,de Bundesliga,28,1996,14.2,5,44,17,38.6,3.09,1.19,0.11,0.29,16.7,0,0,0,4.3,4.3,0.10,+0.7,+0.7,Matches
587,Eray Cömert,ch SUI,"DF,MF",Valladolid,es La Liga,26,1998,19.8,0,9,1,11.1,0.46,0.05,0.00,0.00,21.4,1,0,0,0.9,0.9,0.10,-0.9,-0.9,Matches
588,Santi Comesaña,es ESP,MF,Villarreal,es La Liga,27,1996,28.4,4,39,8,20.5,1.37,0.28,0.10,0.50,13.1,0,0,0,4.6,4.6,0.12,-0.6,-0.6,Matches
589,Pietro Comuzzo,it ITA,DF,Fiorentina,it Serie A,19,2005,24.4,1,5,2,40.0,0.20,0.08,0.20,0.50,13.0,0,0,0,0.5,0.5,0.10,+0.5,+0.5,Matches
590,Francisco Conceição,pt POR,"FW,MF",Juventus,it Serie A,21,2002,14.9,3,40,13,32.5,2.69,0.87,0.08,0.23,18.1,1,0,0,2.3,2.3,0.06,+0.7,+0.7,Matches
591,Diego Conde,es ESP,GK,Villarreal,es La Liga,25,1998,21.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
592,Tomás Conechny,ar ARG,"FW,MF",Alavés,es La Liga,26,1998,9.4,1,22,10,45.5,2.34,1.06,0.05,0.10,18.3,2,0,0,2.4,2.4,0.11,-1.4,-1.4,Matches
593,Alois Confais,fr FRA,MF,Le Havre,fr Ligue 1,27,1996,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
594,Sirlord Conteh,de GER,"FW,MF",Heidenheim,de Bundesliga,28,1996,9.9,1,13,5,38.5,1.31,0.50,0.08,0.20,15.0,0,0,0,2.1,2.1,0.16,-1.1,-1.1,Matches
595,Lewis Cook,eng ENG,"MF,DF",Bournemouth,eng Premier League,27,1997,33.1,1,14,4,28.6,0.42,0.12,0.07,0.25,23.4,1,0,0,0.9,0.9,0.07,+0.1,+0.1,Matches
596,Copete,es ESP,DF,Mallorca,es La Liga,24,1999,17.0,0,6,2,33.3,0.35,0.12,0.00,0.00,9.9,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
597,Diego Coppola,it ITA,DF,Hellas Verona,it Serie A,20,2003,32.5,2,10,4,40.0,0.31,0.12,0.20,0.50,9.1,0,0,0,0.7,0.7,0.07,+1.3,+1.3,Matches
598,Francis Coquelin,fr FRA,MF,Nantes,fr Ligue 1,33,1991,2.5,1,7,1,14.3,2.81,0.40,0.14,1.00,16.7,0,0,0,1.0,1.0,0.15,0.0,0.0,Matches
599,Iker Córdoba,es ESP,DF,Valencia,es La Liga,18,2005,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
600,Derek Cornelius,ca CAN,DF,Marseille,fr Ligue 1,26,1997,15.8,0,9,1,11.1,0.57,0.06,0.00,0.00,11.8,0,0,0,0.9,0.9,0.10,-0.9,-0.9,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
601,Maxwel Cornet,ci CIV,FW,Southampton,eng Premier League,27,1996,0.8,0,1,0,0.0,1.25,0.00,0.00,,18.8,0,0,0,0.2,0.2,0.16,-0.2,-0.2,Matches
602,Maxwel Cornet,ci CIV,"FW,MF",Genoa,it Serie A,27,1996,2.7,2,5,3,60.0,1.83,1.10,0.40,0.67,12.3,0,0,0,1.0,1.0,0.20,+1.0,+1.0,Matches
603,Pierre Cornud,fr FRA,DF,Saint-Étienne,fr Ligue 1,27,1996,6.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
604,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,es La Liga,29,1995,8.9,4,34,14,41.2,3.80,1.57,0.12,0.29,13.9,0,0,0,4.5,4.5,0.13,-0.5,-0.5,Matches
605,Joaquín Correa,ar ARG,"FW,MF",Inter,it Serie A,29,1994,8.1,2,14,6,42.9,1.72,0.74,0.14,0.33,13.3,0,0,0,2.1,2.1,0.15,-0.1,-0.1,Matches
606,Thierry Correia,pt POR,DF,Valencia,es La Liga,25,1999,8.5,0,7,3,42.9,0.82,0.35,0.00,0.00,19.0,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
607,Alberto costa,pt POR,DF,Juventus,it Serie A,20,2003,4.0,0,7,0,0.0,1.76,0.00,0.00,,15.7,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches
608,Coba da Costa,es ESP,"MF,FW",Getafe,es La Liga,22,2002,11.2,1,23,8,34.8,2.06,0.72,0.04,0.13,18.3,0,0,0,1.1,1.1,0.05,-0.1,-0.1,Matches
609,Danny da Costa,de GER,DF,Mainz 05,de Bundesliga,31,1993,22.3,0,5,1,20.0,0.22,0.04,0.00,0.00,31.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
610,David Costa,pt POR,"MF,FW",Lens,fr Ligue 1,23,2001,3.9,0,9,2,22.2,2.30,0.51,0.00,0.00,18.0,0,0,0,1.2,1.2,0.13,-1.2,-1.2,Matches
611,Logan Costa,cv CPV,DF,Villarreal,es La Liga,23,2001,28.7,2,12,5,41.7,0.42,0.17,0.17,0.40,15.9,0,0,0,0.7,0.7,0.05,+1.3,+1.3,Matches
612,Logan Costa,cv CPV,DF,Toulouse,fr Ligue 1,23,2001,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
613,Samu Costa,pt POR,MF,Mallorca,es La Liga,23,2000,29.4,0,30,8,26.7,1.02,0.27,0.00,0.00,18.3,1,0,0,1.8,1.8,0.06,-1.8,-1.8,Matches
614,Grégoire Coudert,fr FRA,GK,Brest,fr Ligue 1,25,1999,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
615,Vladimír Coufal,cz CZE,DF,West Ham,eng Premier League,31,1992,11.9,0,7,2,28.6,0.59,0.17,0.00,0.00,15.5,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
616,Lassana Coulibaly,ml MLI,MF,Lecce,it Serie A,28,1996,29.6,1,9,3,33.3,0.30,0.10,0.11,0.33,18.7,0,0,0,0.8,0.8,0.09,+0.2,+0.2,Matches
617,Lasso Coulibaly,ci CIV,"FW,MF",Auxerre,fr Ligue 1,21,2002,0.5,1,3,2,66.7,6.00,4.00,0.33,0.50,16.2,0,0,0,0.3,0.3,0.09,+0.7,+0.7,Matches
618,Mamadou Coulibaly,fr FRA,MF,Monaco,fr Ligue 1,20,2004,0.1,0,1,0,0.0,11.25,0.00,0.00,,22.2,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
619,Soumaïla Coulibaly,fr FRA,DF,Brest,fr Ligue 1,20,2003,4.9,0,4,0,0.0,0.82,0.00,0.00,,12.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
620,Tanguy Coulibaly,fr FRA,"FW,MF",Montpellier,fr Ligue 1,23,2001,16.5,3,30,13,43.3,1.82,0.79,0.10,0.23,15.4,0,0,0,3.5,3.5,0.12,-0.5,-0.5,Matches
621,Woyo Coulibaly,ml MLI,DF,Leicester City,eng Premier League,25,1999,1.2,0,2,1,50.0,1.65,0.83,0.00,0.00,19.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
622,Woyo Coulibaly,ml MLI,DF,Parma,it Serie A,25,1999,12.0,0,3,0,0.0,0.25,0.00,0.00,,23.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
623,Marius Courcoul,fr FRA,"MF,DF",Angers,fr Ligue 1,17,2007,3.4,0,3,1,33.3,0.87,0.29,0.00,0.00,23.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
624,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,32,1992,30.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
625,Yan Couto,br BRA,"DF,FW",Dortmund,de Bundesliga,22,2002,9.9,0,6,2,33.3,0.60,0.20,0.00,0.00,21.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
626,Nicolas Cozza,fr FRA,"DF,MF",Nantes,fr Ligue 1,25,1999,22.8,1,17,6,35.3,0.75,0.26,0.06,0.17,17.9,0,0,0,1.4,1.4,0.08,-0.4,-0.4,Matches
627,Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,34,1989,9.2,0,5,0,0.0,0.55,0.00,0.00,,23.8,2,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
628,Charlie Cresswell,eng ENG,DF,Toulouse,fr Ligue 1,21,2002,28.8,3,32,13,40.6,1.11,0.45,0.09,0.23,9.5,0,0,0,3.3,3.3,0.10,-0.3,-0.3,Matches
629,Bryan Cristante,it ITA,MF,Roma,it Serie A,29,1995,22.7,4,30,7,23.3,1.32,0.31,0.13,0.57,16.9,0,0,0,2.1,2.1,0.07,+1.9,+1.9,Matches
630,Domen Črnigoj,si SVN,MF,Venezia,it Serie A,28,1995,1.5,0,1,0,0.0,0.66,0.00,0.00,,10.3,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches
631,Juan Cruz Armada,es ESP,DF,Osasuna,es La Liga,32,1992,16.6,0,4,0,0.0,0.24,0.00,0.00,,16.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
632,Juan Cruz,es ESP,"FW,MF",Leganés,es La Liga,24,2000,25.1,5,33,14,42.4,1.32,0.56,0.15,0.36,21.0,1,0,0,2.7,2.7,0.08,+2.3,+2.3,Matches
633,Juan Cuadrado,co COL,"DF,MF",Atalanta,it Serie A,36,1988,9.2,0,16,4,25.0,1.73,0.43,0.00,0.00,16.0,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
634,Pau Cubarsí,es ESP,DF,Barcelona,es La Liga,17,2007,29.1,0,8,0,0.0,0.28,0.00,0.00,,8.9,0,0,0,0.8,0.8,0.10,-0.8,-0.8,Matches
